Grade Level,List number,Pattern Words,Review Words
5th,12,idle,
5th,12,hanger,
5th,12,dessert,
5th,12,altar,
5th,12,hangar,
5th,12,idol,
5th,12,alter,
5th,12,desert,
5th,12,,Trustworthy
5th,12,,self-control
5th,12,,therefore
5th,12,,out-of-bounds
5th,12,,masterpiece
5th,13,prevents,
5th,13,forecast,
5th,13,prepaid,
5th,13,remind,
5th,13,mistake,
5th,13,recharge,
5th,13,forehead,
5th,13,refinish,
5th,13,forethought,
5th,13,remodel,
5th,13,mistreat,
5th,13,restored,
5th,13,foreshadow,
5th,13,reschedule,
5th,13,precaution,
5th,13,rearrange,
5th,13,forewarn,
5th,13,resource,
5th,13,misleading,
5th,13,reassemble,
5th,13,,course
5th,13,,presense
5th,13,,vary
5th,13,,muscle
5th,13,,dessert
5th,14,subtract,
5th,14,disconnect,
5th,14,nonfiction,
5th,14,unbelief,
5th,14,disagree,
5th,14,unsteady,
5th,14,nonsense,
5th,14,distract,
5th,14,subway,
5th,14,disorder,
5th,14,unbuckle,
5th,14,dissolve,
5th,14,uncommon,
5th,14,submarine,
5th,14,disinfect,
5th,14,unnecessary,
5th,14,disability,
5th,14,uncertain,
5th,14,nondairy,
5th,14,disappoint,
5th,14,,resource
5th,14,,forecast
5th,14,,mistake
5th,14,,precaution
5th,14,,rearrange
5th,15,example,
5th,15,incomplete,
5th,15,enable,
5th,15,exact,
5th,15,enforced,
5th,15,infield,
5th,15,incorrect,
5th,15,expects,
5th,15,installing,
5th,15,exchange,
5th,15,inactive,
5th,15,enlarge,
5th,15,expense,
5th,15,endangered,
5th,15,intruding,
5th,15,enrich,
5th,15,infinite,
5th,15,exclaimed,
5th,15,infrequent,
5th,15,entrust,
5th,15,,unnecessary
5th,15,,disability
5th,15,,uncertain
5th,15,,nonfiction
5th,15,,dissolve
5th,16,fluid,
5th,16,patio,
5th,16,meteor,
5th,16,casual,
5th,16,patriot,
5th,16,diet,
5th,16,trial,
5th,16,pioneer,
5th,16,poet,
5th,16,diagram,
5th,16,giant,
5th,16,museum,
5th,16,viola,
5th,16,ruin,
5th,16,variety,
5th,16,barrier,
5th,16,pliers,
5th,16,cereal,
5th,16,anxiety,
5th,16,annual,
5th,16,,enforced
5th,16,,intruding
5th,16,,exact
5th,16,,enable
5th,16,,example
5th,17,closely,
5th,17,delightful,
5th,17,beginner,
5th,17,narrator,
5th,17,cheerful,
5th,17,explorer,
5th,17,quietly,
5th,17,believer,
5th,17,merciful,
5th,17,employer,
5th,17,easily,
5th,17,flavorful,
5th,17,eagerly,
5th,17,designer,
5th,17,successful,
5th,17,completely,
5th,17,governor,
5th,17,plentiful,
5th,17,certainly,
5th,17,messenger,
5th,17,,variety
5th,17,,annual
5th,17,,cereal
5th,17,,barrier
5th,17,,diagram
5th,18,statement,
5th,18,meekness,
5th,18,bubbly,
5th,18,wireless,
5th,18,measurement,
5th,18,stormy,
5th,18,firmness,
5th,18,priceless,
5th,18,frosty,
5th,18,breathless,
5th,18,godliness,
5th,18,excitement,
5th,18,awareness,
5th,18,honesty,
5th,18,happiness,
5th,18,improvement,
5th,18,appointment,
5th,18,delivery,
5th,18,tenderness,
5th,18,announcement,
5th,18,,governor
5th,18,,believer
5th,18,,merciful
5th,18,,sucessful
5th,18,,easily
5th,19,manner,
5th,19,favor,
5th,19,molers,
5th,19,mayor,
5th,19,poler,
5th,19,carpenter,
5th,19,collar,
5th,19,minister,
5th,19,lunar,
5th,19,surrender,
5th,19,center,
5th,19,remembered,
5th,19,cedar,
5th,19,monitar,
5th,19,grammar,
5th,19,consider,
5th,19,scholar,
5th,19,cylinder,
5th,19,splendor,
5th,19,tutor,
5th,19,,honesty
5th,19,,godliness
5th,19,,measurement
5th,19,,announcement
5th,19,,wireless
5th,20,normal,
5th,20,fossils,
5th,20,people,
5th,20,pretzel,
5th,20,sandal,
5th,20,fragile,
5th,20,eternal,
5th,20,vessel,
5th,20,central,
5th,20,noble,
5th,20,spiral,
5th,20,trouble,
5th,20,lentil,
5th,20,kennel,
5th,20,mental,
5th,20,articles,
5th,20,shrivel,
5th,20,sterile,
5th,20,mammals,
5th,20,vehicles,
5th,20,,manner
5th,20,,grammer
5th,20,,favor
5th,20,,moniter
5th,20,,consider
5th,21,pollen,
5th,21,margin,
5th,21,organ,
5th,21,doctrine,
5th,21,citiizen,
5th,21,engine,
5th,21,straighten,
5th,21,discipline,
5th,21,linen,
5th,21,beacon,
5th,21,salmon,
5th,21,strengthen,
5th,21,slogan,
5th,21,examine,
5th,21,weapon,
5th,21,determine,
5th,21,chieftain,
5th,21,satin,
5th,21,genuine,
5th,21,oxygen,
5th,21,,people
5th,21,,fragile
5th,21,,eternal
5th,21,,vehicle
5th,21,,vessel
5th,22,damage,
5th,22,spirit,
5th,22,definite,
5th,22,luggage,
5th,22,credit,
5th,22,certificate,
5th,22,opposite,
5th,22,wallat,
5th,22,heritage,
5th,22,accurate,
5th,22,budget,
5th,22,postage,
5th,22,delicate,
5th,22,granite,
5th,22,limit,
5th,22,beverage,
5th,22,considerate,
5th,22,average,
5th,22,appropiate,
5th,22,advantage,
5th,22,,discipline
5th,22,,citizen
5th,22,,salmon
5th,22,,doctrine
5th,22,,oxygen
5th,23,melody,
5th,23,record,
5th,23,broccoli,
5th,23,beuty,
5th,23,address,
5th,23,origami,
5th,23,harmony,
5th,23,produce,
5th,23,envy,
5th,23,conduct,
5th,23,almighty,
5th,23,content,
5th,23,pottery,
5th,23,servey,
5th,23,strategy,
5th,23,contract,
5th,23,zucchini,
5th,23,property,
5th,23,rebel,
5th,23,allergy,
5th,23,,definite
5th,23,,advantage
5th,23,,appropiate
5th,23,,budget
5th,23,,average
5th,24,equal,
5th,24,phrase,
5th,24,guitar,
5th,24,conquer,
5th,24,squid,
5th,24,alphabet,
5th,24,require,
5th,24,league,
5th,24,elephant,
5th,24,antique,
5th,24,quest,
5th,24,sequence,
5th,24,fatique,
5th,24,vague,
5th,24,triumph,
5th,24,disgiuse,
5th,24,mosquito,
5th,24,pamphlet,
5th,24,request,
5th,24,technique,
5th,24,,produce
5th,24,,stragety
5th,24,,address
5th,24,,property
5th,24,,conduct
5th,25,service,
5th,25,olive,
5th,25,surface,
5th,25,motive,
5th,25,active,
5th,25,justice,
5th,25,creative,
5th,25,notice,
5th,25,native,
5th,25,office,
5th,25,practice,
5th,25,relative,
5th,25,positive,
5th,25,lettuce,
5th,25,expensive,
5th,25,turtoise,
5th,25,sensitive,
5th,25,detective,
5th,25,porpoise,
5th,25,attractive,
5th,25,,require
5th,25,,technique
5th,25,,guitar
5th,25,,vague
5th,25,,conquer
5th,26,culture,
5th,26,pressure,
5th,26,picture,
5th,26,failure,
5th,26,mixture,
5th,26,fracture,
5th,26,fixture,
5th,26,figure,
5th,26,texture,
5th,26,signature,
5th,26,feature,
5th,26,advaneture,
5th,26,closure,
5th,26,lecture,
5th,26,gestur,
5th,26,sculpture,
5th,26,assure,
5th,26,structure,
5th,26,puncture,
5th,26,leisure,
5th,26,,practice
5th,26,,surface
5th,26,,justice
5th,26,,positive
5th,26,,relative
5th,27,confess,
5th,27,confession,
5th,27,devote,
5th,27,devotion,
5th,27,react,
5th,27,reaction,
5th,27,confuse,
5th,27,confusion,
5th,27,elect,
5th,27,election,
5th,27,create,
5th,27,creation,
5th,27,attract,
5th,27,attraction,
5th,27,select,
5th,27,selection,
5th,27,possess,
5th,27,possession,
5th,27,reflect,
5th,27,reflection,
5th,27,,figure
5th,27,,signature
5th,27,,pressure
5th,27,,texture
5th,27,,culture
5th,28,valueable,
5th,28,noticeable,
5th,28,confortable,
5th,28,reliable,
5th,28,adjustable,
5th,28,loveable,
5th,28,manageable,
5th,28,dependable,
5th,28,usable,
5th,28,breakable,
5th,28,removeable,
5th,28,chewable,
5th,28,variable,
5th,28,reasonable,
5th,28,changeable,
5th,28,affordable,
5th,28,predictable,
5th,28,recycleable,
5th,28,honorable,
5th,28,disposable,
5th,28,,confession
5th,28,,devotion
5th,28,,reflection
5th,28,,possession
5th,28,,election
5th,29,distance,
5th,29,distant,
5th,29,obedience,
5th,29,obedient,
5th,29,diligent,
5th,29,important,
5th,29,difference,
5th,29,different,
5th,29,abundance,
5th,29,abdant,
5th,29,confidence,
5th,29,confident,
5th,29,fragrant,
5th,29,assistant,
5th,29,assistance,
5th,29,residence,
5th,29,resident,
5th,29,,dependable
5th,29,,noticeable
5th,29,,valueable
5th,29,,reliable
5th,29,,removeable
5th,30,microscope,
5th,30,biography,
5th,30,thermal,
5th,30,automatic,
5th,30,microbe,
5th,30,telescope,
5th,30,homograph,
5th,30,ecology,
5th,30,thermometer,
5th,30,photograph,
5th,30,telephone,
5th,30,photocopy,
5th,30,automobile,
5th,30,television,
5th,30,thermos,
5th,30,microphone,
5th,30,autograph,
5th,30,photograph,
5th,30,homophone,
5th,30,autobiography,
5th,30,,obedient
5th,30,,diligent
5th,30,,assistance
5th,30,,confidence
5th,30,,fragrant
5th,31,predict,
5th,31,transfer,
5th,31,support,
5th,31,script,
5th,31,translate,
5th,31,inform,
5th,31,scribe,
5th,31,transform,
5th,31,dictionary,
5th,31,export,
5th,31,Scripture,
5th,31,describe,
5th,31,transmit,
5th,31,dictate,
5th,31,portable,
5th,31,prescribe,
5th,31,transparent,
5th,31,import,
5th,31,uniform,
5th,31,transport,
5th,31,,photograph
5th,31,,thermometer
5th,31,,microscope
5th,31,,telescope
5th,31,,homograph
5th,32,triangle,
5th,32,century,
5th,32,unite,
5th,32,biweekly,
5th,32,percent,
5th,32,triple,
5th,32,unique,
5th,32,bifocals,
5th,32,decade,
5th,32,unison,
5th,32,Trinity,
5th,32,universe,
5th,32,centurion,
5th,32,tripod,
5th,32,binoculars,
5th,32,unity,
5th,32,centipede,
5th,32,biceps,
5th,32,trilogy,
5th,32,decimal,
5th,32,,Scripture
5th,32,,transform
5th,32,,predict
5th,32,,uniform
5th,32,,transparent
